【汉字篇】
夢|ゆめ|梦想、梦境|夢はとても大切です。|使用「夢」的例句：梦想、梦境很重要
習慣|しゅうかん|习惯、惯例|習慣について話します。|使用「習慣」的例句：谈论习惯、惯例
次元|じげん|维度、次元|新しい次元です。|使用「次元」的例句：新的维度、次元
地元|じもと|本地、家乡|新しい地元です。|使用「地元」的例句：新的本地、家乡
土台|どだい|基础、根基|新しい土台です。|使用「土台」的例句：新的基础、根基
立場|たちば|立场、立足点|立場を持っています。|使用「立場」的例句：有立场、立足点
急激|きゅうげき|急剧、迅猛|急激を買いました。|使用「急激」的例句：买了急剧、迅猛
技術|ぎじゅつ|技术、工艺|技術が好きです。|使用「技術」的例句：喜欢技术、工艺
工夫|くふう|设计、努力|工夫が好きです。|使用「工夫」的例句：喜欢设计、努力
訓練|くんれん|训练、培养|新しい訓練です。|使用「訓練」的例句：新的训练、培养
多彩|たさい|多彩、丰富|多彩が好きです。|使用「多彩」的例句：喜欢多彩、丰富
刺激|しげき|刺激、激励|これは刺激です。|使用「刺激」的例句：这是刺激、激励
指摘|してき|指出|指摘を買いました。|使用「指摘」的例句：买了指出
鈍感|どんかん|钝感、迟钝|鈍感はとても大切です。|使用「鈍感」的例句：钝感、迟钝很重要
失望|しつぼう|失望、沮丧|失望が好きです。|使用「失望」的例句：喜欢失望、沮丧
覚悟|かくご|准备、觉悟|新しい覚悟です。|使用「覚悟」的例句：新的准备、觉悟
区別|くべつ|区分、区别|これは区別です。|使用「区別」的例句：这是区分、区别
心配|しんぱい|担心、忧虑|母のことが心配です|担心母亲
化粧|けしょう|化妆、装饰|化粧について話します。|使用「化粧」的例句：谈论化妆、装饰
負担|ふたん|负担、负荷|負担について話します。|使用「負担」的例句：谈论负担、负荷
余計|よけい|多余、愈发|余計はとても大切です。|使用「余計」的例句：多余、愈发很重要
本物|ほんもの|真正、真品|これは本物です。|使用「本物」的例句：这是真正、真品
欠陥|けっかん|缺陷、瑕疵|欠陥はとても大切です。|使用「欠陥」的例句：缺陷、瑕疵很重要
視野|しや|视野、眼界|視野はとても大切です。|使用「視野」的例句：视野、眼界很重要
視線|しせん|视线、目光|新しい視線です。|使用「視線」的例句：新的视线、目光
視察|しさつ|视察、考察|視察を買いました。|使用「視察」的例句：买了视察、考察
視点|してん|视角、视点|新しい視点です。|使用「視点」的例句：新的视角、视点
欠点|けってん|缺点、短处|とても欠点です。|使用「欠点」的例句：非常缺点、短处
弱点|じゃくてん|弱点、短板|弱点気持ちです。|使用「弱点」的例句：弱点、短板的心情
点検|てんけん|检查、点检|これは点検です。|使用「点検」的例句：这是检查、点检
得点|とくてん|得分、分数|得点が好きです。|使用「得点」的例句：喜欢得分、分数
焦点|しょうてん|焦点、重点|焦点が好きです。|使用「焦点」的例句：喜欢焦点、重点
終点|しゅうてん|终点|終点を持っています。|使用「終点」的例句：有终点
重点|じゅうてん|重点、要点|重点はとても大切です。|使用「重点」的例句：重点、要点很重要
貴重|きちょう|贵重、珍贵|貴重が好きです。|使用「貴重」的例句：喜欢贵重、珍贵
尊重|そんちょう|尊重、尊敬|新しい尊重です。|使用「尊重」的例句：新的尊重、尊敬
油断|ゆだん|疏忽、大意|油断人です。|使用「油断」的例句：疏忽、大意的人
利点|りてん|优点、好处|利点気持ちです。|使用「利点」的例句：优点、好处的心情
権利|けんり|权利、权益|新しい権利です。|使用「権利」的例句：新的权利、权益
勝利|しょうり|胜利、成功|勝利が好きです。|使用「勝利」的例句：喜欢胜利、成功
有利|ゆうり|有利、优越|有利を買いました。|使用「有利」的例句：买了有利、优越
無口|むくち|沉默、不善言辞|無口を買いました。|使用「無口」的例句：买了沉默、不善言辞
無事|ぶじ|安全、无事|無事について話します。|使用「無事」的例句：谈论安全、无事
行事|ぎょうじ|活动、事件|一緒に行事ましょう。|使用「行事」的例句：一起活动、事件吧
流行|りゅうこう|流行、时尚|流行が好きです。|使用「流行」的例句：喜欢流行、时尚
行方|ゆくえ|去向、下落|行方ことができます。|使用「行方」的例句：能够去向、下落
移行|いこう|过渡、转移|移行はとても大切です。|使用「移行」的例句：过渡、转移很重要
移動|いどう|移动、搬迁|時々移動ます。|使用「移動」的例句：有时移动、搬迁
動作|どうさ|动作、行为|毎日動作ます。|使用「動作」的例句：每天动作、行为
感動|かんどう|感动、激动|毎日感動ます。|使用「感動」的例句：每天感动、激动
活動|かつどう|活动、行动|今日は活動ました。|使用「活動」的例句：今天活动、行动了
活躍|かつやく|出色表现|活躍を持っています。|使用「活躍」的例句：有出色表现
復活|ふっかつ|复活、复兴|復活について話します。|使用「復活」的例句：谈论复活、复兴
回復|かいふく|恢复|回復を買いました。|使用「回復」的例句：买了恢复
回答|かいとう|回答、答复|回答を持っています。|使用「回答」的例句：有回答、答复
応答|おうとう|回应、回答|応答を買いました。|使用「応答」的例句：买了回应、回答
対応|たいおう|对应、处理|対応を持っています。|使用「対応」的例句：有对应、处理
絶対|ぜったい|绝对、无条件|これは絶対です。|使用「絶対」的例句：这是绝对、无条件
対策|たいさく|对策、措施|対策を買いました。|使用「対策」的例句：买了对策、措施
対比|たいひ|对比、对照|対比が好きです。|使用「対比」的例句：喜欢对比、对照
比較|ひかく|比较、对比|これは比較です。|使用「比較」的例句：这是比较、对比
比例|ひれい|比例、批判|比例を持っています。|使用「比例」的例句：有比例、批判
例外|れいがい|例外、异常|例外について話します。|使用「例外」的例句：谈论例外、异常
外側|そとがわ|外面、外侧|外側を買いました。|使用「外側」的例句：买了外面、外侧
外見|がいけん|外貌、外观|これは外見です。|使用「外見」的例句：这是外貌、外观
見当|けんとう|估计、方向|これは見当です。|使用「見当」的例句：这是估计、方向
見解|けんかい|见解、看法|今日は見解ました。|使用「見解」的例句：今天见解、看法了
解消|かいしょう|解除、消除|解消はとても大切です。|使用「解消」的例句：解除、消除很重要
解約|かいやく|解约、取消|解約はとても大切です。|使用「解約」的例句：解约、取消很重要
了解|りょうかい|了解、明白|了解を買いました。|使用「了解」的例句：买了了解、明白
分解|ぶんかい|分解、解析|分解を持っています。|使用「分解」的例句：有分解、解析
分別|ぶんべつ|分类、分辨|分別が好きです。|使用「分別」的例句：喜欢分类、分辨
分担|ぶんたん|分担、承担|分担が好きです。|使用「分担」的例句：喜欢分担、承担
分配|ぶんぱい|分配|分配が好きです。|使用「分配」的例句：喜欢分配
分野|ぶんや|领域、范围|分野について話します。|使用「分野」的例句：谈论领域、范围
分析|ぶんせき|分析、剖析|分析を持っています。|使用「分析」的例句：有分析、剖析
区分|くぶん|区分、分类|区分が好きです。|使用「区分」的例句：喜欢区分、分类
気分|きぶん|心情、情绪|気分について話します。|使用「気分」的例句：谈论心情、情绪
病気|びょうき|疾病、病症|病気について話します。|使用「病気」的例句：谈论疾病、病症
短気|たんき|急躁、暴躁|これは短気です。|使用「短気」的例句：这是急躁、暴躁
元気|げんき|耐心、毅力|元気が好きです。|使用「元気」的例句：喜欢耐心、毅力
根気|こんき|精力、健康|根気が好きです。|使用「根気」的例句：喜欢精力、健康
気配|けはい|迹象、行情|気配を買いました。|使用「気配」的例句：买了迹象、行情
活気|かっき|活力|活気はとても大切です。|使用「活気」的例句：活力很重要
活発|かっぱつ|活跃、积极|活発を買いました。|使用「活発」的例句：买了活跃、积极
出発|しゅっぱつ|出发、启程|出発を買いました。|使用「出発」的例句：买了出发、启程
始発|しはつ|始发、始发车|始発が好きです。|使用「始発」的例句：喜欢始发、始发车
発生|はっせい|发生、产生|発生を買いました。|使用「発生」的例句：买了发生、产生
発明|はつめい|发明、创造|新しい発明です。|使用「発明」的例句：新的发明、创造
発言|はつげん|讲话、发言|発言はとても大切です。|使用「発言」的例句：讲话、发言很重要
発達|はったつ|发展、发达|発達について話します。|使用「発達」的例句：谈论发展、发达
発想|はっそう|构思、想法|新しい発想です。|使用「発想」的例句：新的构思、想法
発展|はってん|发展、扩展|発展について話します。|使用「発展」的例句：谈论发展、扩展
発揮|はっき|发挥、展现|発揮を買いました。|使用「発揮」的例句：买了发挥、展现
開発|かいはつ|开发|開発について話します。|使用「開発」的例句：谈论开发
展開|てんかい|展开、发展|展開について話します。|使用「展開」的例句：谈论展开、发展
開幕|かいまく|开幕、揭幕|開幕を持っています。|使用「開幕」的例句：有开幕、揭幕
開催|かいさい|举办、举行|開催について話します。|使用「開催」的例句：谈论举办、举行
催促|さいそく|催促|催促が好きです。|使用「催促」的例句：喜欢催促
促進|そくしん|促进、推动|促進ことができます。|使用「促進」的例句：能够促进、推动
進路|しんろ|进路、前进方向|進路が好きです。|使用「進路」的例句：喜欢进路、前进方向
進行|しんこう|进行、进展|進行を持っています。|使用「進行」的例句：有进行、进展
進学|しんがく|升学|進学を買いました。|使用「進学」的例句：买了升学
退学|たいがく|退学、辍学|退学はとても大切です。|使用「退学」的例句：退学、辍学很重要
引退|いんたい|引退、退役|引退を持っています。|使用「引退」的例句：有引退、退役
退屈|たいくつ|无聊、烦闷|退屈について話します。|使用「退屈」的例句：谈论无聊、烦闷
辞退|じたい|辞退、拒绝|辞退について話します。|使用「辞退」的例句：谈论辞退、拒绝
撤退|てったい|撤退、退却|撤退を持っています。|使用「撤退」的例句：有撤退、退却
退職|たいしょく|退休、辞职|これは退職です。|使用「退職」的例句：这是退休、辞职
転職|てんしょく|换工作、改行|一緒に転職ましょう。|使用「転職」的例句：一起换工作、改行吧
転勤|てんきん|工作调动|時々転勤ます。|使用「転勤」的例句：有时工作调动
転換|てんかん|转变、改变|転換を買いました。|使用「転換」的例句：买了转变、改变
交換|こうかん|交换、调换|交換について話します。|使用「交換」的例句：谈论交换、调换
交代|こうたい|交替、替换|交代について話します。|使用「交代」的例句：谈论交替、替换
有効|ゆうこう|有效、有效力|有効を持っています。|使用「有効」的例句：有有效、有效力
効果|こうか|效果、影响|効果が好きです。|使用「効果」的例句：喜欢效果、影响
効用|こうよう|效用、用途|効用を持っています。|使用「効用」的例句：有效用、用途
用途|ようと|用途|新しい用途です。|使用「用途」的例句：新的用途
共用|きょうよう|共用、共享|共用はとても大切です。|使用「共用」的例句：共用、共享很重要
引用|いんよう|引用|引用を買いました。|使用「引用」的例句：买了引用
採用|さいよう|采用、录用|採用はとても大切です。|使用「採用」的例句：采用、录用很重要
専用|せんよう|专用、专门|専用はとても大切です。|使用「専用」的例句：专用、专门很重要
専属|せんぞく|专属、专门|専属を買いました。|使用「専属」的例句：买了专属、专门
専心|せんしん|专心、专注|専心を買いました。|使用「専心」的例句：买了专心、专注
残念|ざんねん|遗憾、可惜|新しい残念です。|使用「残念」的例句：新的遗憾、可惜
念頭|ねんとう|念头、心中|念頭を買いました。|使用「念頭」的例句：买了念头、心中
頭上|ずじょう|头顶、上面|頭上について話します。|使用「頭上」的例句：谈论头顶、上面
目上|めうえ|上司、长辈|目上気持ちです。|使用「目上」的例句：上司、长辈的心情
役目|やくめ|任务、职责|役目を持っています。|使用「役目」的例句：有任务、职责
目印|めじるし|标记|目印はとても大切です。|使用「目印」的例句：标记很重要
注目|ちゅうもく|注目、关注|注目を買いました。|使用「注目」的例句：买了注目、关注
注文|ちゅうもん|订单、点单|これは注文です。|使用「注文」的例句：这是订单、点单
文句|もんく|抱怨、意见|文句を買いました。|使用「文句」的例句：买了抱怨、意见
愚痴|ぐち|抱怨、发牢骚|愚痴を持っています。|使用「愚痴」的例句：有抱怨、发牢骚
目安|めやす|基准、大概的|目安気持ちです。|使用「目安」的例句：基准、大概的的心情
目標|もくひょう|目标、目的|目標気持ちです。|使用「目標」的例句：目标、目的的心情
標識|ひょうしき|标志|標識を持っています。|使用「標識」的例句：有标志
知識|ちしき|知识、学问|これは知識です。|使用「知識」的例句：这是知识、学问
承知|しょうち|了解、同意|承知を買いました。|使用「承知」的例句：买了了解、同意
措置|そち|措施、手段|措置を持っています。|使用「措置」的例句：有措施、手段
処置|しょち|处理、处置|処置を持っています。|使用「処置」的例句：有处理、处置
処理|しょり|处理、处置|処理について話します。|使用「処理」的例句：谈论处理、处置
修理|しゅうり|修理、修复|これは修理です。|使用「修理」的例句：这是修理、修复
無理|むり|不可能、过分|新しい無理です。|使用「無理」的例句：新的不可能、过分
理論|りろん|理论|理論が好きです。|使用「理論」的例句：喜欢理论
論争|ろんそう|争论、辩论|論争が好きです。|使用「論争」的例句：喜欢争论、辩论
討論|とうろん|讨论、辩论|これは討論です。|使用「討論」的例句：这是讨论、辩论
検討|けんとう|检讨、考虑|検討を買いました。|使用「検討」的例句：买了检讨、考虑
検査|けんさ|检查、审查|検査が好きです。|使用「検査」的例句：喜欢检查、审查
調査|ちょうさ|调查、研究|調査について話します。|使用「調査」的例句：谈论调查、研究
順調|じゅんちょう|顺利|順調を買いました。|使用「順調」的例句：买了顺利
調和|ちょうわ|良好、顺|調和ところです。|使用「調和」的例句：良好、顺的地方
調整|ちょうせい|调整、调节|調整について話します。|使用「調整」的例句：谈论调整、调节
整備|せいび|整备、维护|新しい整備です。|使用「整備」的例句：新的整备、维护
調節|ちょうせつ|调节、管控|調節を買いました。|使用「調節」的例句：买了调节、管控
節約|せつやく|节约、节省|これは節約です。|使用「節約」的例句：这是节约、节省
予約|よやく|预定、预约|予約について話します。|使用「予約」的例句：谈论预定、预约
予報|よほう|预报、预测|予報が好きです。|使用「予報」的例句：喜欢预报、预测
予感|よかん|预感、预兆|新しい予感です。|使用「予感」的例句：新的预感、预兆
予習|よしゅう|预习、预备|これは予習です。|使用「予習」的例句：这是预习、预备
予測|よそく|预测、预估|予測について話します。|使用「予測」的例句：谈论预测、预估
観測|かんそく|观察、监测|観測を買いました。|使用「観測」的例句：买了观察、监测
測定|そくてい|测定、测量|測定について話します。|使用「測定」的例句：谈论测定、测量
定着|ていちゃく|定论、固|定着はとても大切です。|使用「定着」的例句：定论、固很重要
仮定|かてい|假定、假设|仮定はとても大切です。|使用「仮定」的例句：假定、假设很重要
限定|げんてい|限定、限制|限定について話します。|使用「限定」的例句：谈论限定、限制
制限|せいげん|限制、约束|これは制限です。|使用「制限」的例句：这是限制、约束
限界|げんかい|界限、极限|限界について話します。|使用「限界」的例句：谈论界限、极限
指定|してい|指定|指定を買いました。|使用「指定」的例句：买了指定
設定|せってい|设置，设定|設定を持っています。|使用「設定」的例句：有设置，设定
決定|けってい|决定、决策|新しい決定です。|使用「決定」的例句：新的决定、决策
勘定|かんじょう|账单、计算|勘定が好きです。|使用「勘定」的例句：喜欢账单、计算
確認|かくにん|确认、核实|新しい確認です。|使用「確認」的例句：新的确认、核实
確保|かくほ|确保、保证|確保が好きです。|使用「確保」的例句：喜欢确保、保证
保証|ほしょう|保证、担保|これは保証です。|使用「保証」的例句：这是保证、担保
保存|ほぞん|保存、保管|保存が好きです。|使用「保存」的例句：喜欢保存、保管
